Date,Open,High,Low,Close,Volume,sentiment
2023-01-03,64.17,65.85,63.92,65.85,1496887,0.128328
2023-01-04,66.02,66.52,65.94,66.52,1090697,0.3507655
2023-01-05,66.52,68.29,66.27,68.12,2471156,0.0
2023-01-06,67.95,68.12,66.78,66.94,1270661,-0.06397299999999999
2023-01-09,67.03,67.7,66.78,67.7,949900,-0.17610874999999998
2023-01-10,67.87,68.37,67.61,67.95,1196828,-0.2883246666666666
2023-01-11,67.95,68.45,66.61,66.61,1535421,0.688487
2023-01-12,67.03,67.28,66.52,67.11,685545,-0.19316425
2023-01-13,67.28,68.03,67.19,67.61,1449667,0.02242542857142858
2023-01-16,67.61,67.78,66.61,66.61,655271,-0.253386
2023-01-17,67.28,67.95,66.61,67.87,1672065,0.330281
2023-01-18,67.87,68.37,67.7,68.2,1299292,0.385065
2023-01-19,67.78,68.37,67.11,68.2,2628489,0.0
2023-01-27,68.29,68.7,66.78,67.11,2333482,0.254847
2023-01-30,67.11,67.11,66.61,66.61,1614712,0.088554
2023-01-31,66.44,66.69,64.51,64.68,4819134,0.391793375
2023-02-01,65.18,65.27,64.51,64.76,1811677,0.3138226666666667
2023-02-02,64.93,65.01,64.34,64.34,1494960,0.6265068
2023-02-03,64.59,64.68,63.67,63.76,1857505,-0.24645
2023-02-06,63.67,65.01,63.67,64.93,1911471,0.0
2023-02-07,65.1,65.1,63.84,63.84,1275373,0.0
2023-02-08,63.92,64.26,63.5,63.59,1551091,-0.185309
2023-02-09,63.59,63.76,62.92,62.92,1594747,0.0
2023-02-10,62.92,63.67,62.92,63.67,1236884,0.07464849999999999
2023-02-13,63.67,63.67,62.16,63.17,1570936,-0.242224
2023-02-14,63.17,63.5,62.41,62.66,1074782,0.066211
2023-02-15,62.66,63.76,62.41,63.76,1444301,0.5188095
2023-02-16,63.76,64.17,63.42,64.17,692037,0.1090094
2023-02-17,63.84,64.09,63.17,63.76,777880,0.085159
2023-02-20,63.76,65.01,63.34,65.01,1386188,0.529565
2023-02-21,65.01,65.1,64.34,64.76,889193,-0.24164942857142857
2023-02-22,64.01,64.34,63.34,63.34,1296443,-0.6083513333333334
2023-02-23,63.34,64.51,62.41,63.5,2328809,-0.02385033333333333
2023-02-24,63.5,63.76,62.5,62.66,1681692,-0.009981500000000032
2023-02-27,62.66,63.67,62.08,63.08,1113616,-0.4475015
2023-02-28,63.34,63.67,63.0,63.34,1035315,0.08247550000000001
2023-03-01,63.0,64.59,62.92,64.51,1636044,0.1376426
2023-03-02,64.51,64.51,63.84,64.17,1089291,-0.022637
2023-03-03,62.92,64.43,62.92,63.76,704604,-0.490363
2023-03-06,63.76,64.26,62.92,62.92,892543,0.173748
2023-03-07,63.67,63.92,63.34,63.59,1171596,-0.674381
2023-03-08,63.08,64.17,62.92,64.17,1245092,0.42957660000000003
2023-03-09,63.92,64.68,63.92,64.17,1390428,0.31804224999999997
2023-03-10,64.17,64.76,63.84,64.51,1428506,-0.06669833333333335
2023-03-13,64.43,64.68,64.26,64.51,1825388,0.20039525
2023-03-14,64.01,64.51,63.42,64.26,1735682,-0.293166
2023-03-15,64.26,64.85,64.17,64.68,1960620,0.39818233333333336
2023-03-16,64.59,64.68,63.67,64.09,1530353,-0.6169283333333334
2023-03-17,64.09,64.09,62.5,62.5,2433870,0.0656575
2023-03-20,62.92,62.92,62.16,62.33,1610450,-0.078054
2023-03-21,62.41,63.0,62.25,62.41,1351452,0.09562475000000001
2023-03-22,62.58,62.66,62.41,62.41,901008,0.278036
2023-03-23,62.33,63.17,62.08,63.17,1285502,-0.010344714285714287
2023-03-24,62.92,63.34,62.75,62.92,932820,0.0
2023-03-27,62.92,62.92,62.33,62.58,1371841,0.11213075
2023-03-28,62.5,63.17,62.41,62.41,1650696,0.043779000000000005
2023-03-29,62.66,62.83,62.41,62.83,907785,0.143259
2023-03-30,62.66,63.25,62.58,62.92,839461,0.30734325
2023-03-31,62.92,63.25,62.41,62.41,1076689,0.68192425
2023-04-03,62.58,62.83,62.25,62.41,851274,0.825142
2023-04-04,62.41,62.5,62.25,62.25,1819637,0.051237
2023-04-05,62.25,62.75,62.16,62.5,964016,0.972647
2023-04-06,62.41,62.58,62.33,62.33,906247,0.2274965
