title,date,stock
Hoa Phat Group’s Strength,2015-06-14,HPG
Hoa Phat Group ranks in AAA credit ranking in 2 consecutive years,2015-12-11,HPG
Hoa Phat steel will supply wire rod for welding product from QIII/2016,2016-05-23,HPG
Hoa Phat and its start-up stories,2017-08-28,HPG
Fuel price hike to have knock-on effects,2017-10-03,HPG
Hoa Phat co-operates with four world’s largest iron ore mining companies in Australia,2017-12-11,HPG
Ha Noi to have affordable apartment building,2018-01-25,HPG
HPG cop found guilty of killing rider,2018-02-06,HPG
HPG cop gets 12 years for rider’s slay,2018-02-06,HPG
Vietnam’s steel tycoon off Forbes billionaires list,2018-03-12,HPG
Technical Analysis of Hoa Phat Group JSC (HOSE:HPG),2018-06-21,HPG
Hòa Phát Dung Quất Steel JSC improves admin capacity,2018-07-02,HPG
"CEO Hoa Phat: ""Every day, we earn 1 million USD""",2019-03-25,HPG
HPG: Hoa Phat Group Joint Stock Company - Hoa Phat Group,2019-04-22,HPG
Customer Conference Hoa Phat Construction Steel 2019,2019-07-22,HPG
"""Coverage"" high quality steel products of Hoa Phat to the South",2019-07-29,HPG
Hoa Phat is honored in the Top 10 best profit companies in Vietnam,2019-09-26,HPG
HOSE lists 10 largest securities companies - Vietnam Investment Review,2020-01-09,HPG
Hoa Phat Agricultural Development Joint Stock Company,2020-01-13,HPG
Important milestones of Hoa Phat Group in 2019,2020-01-14,HPG
Hoa Phat affirms its stature after 10 years of restructure,2020-01-20,HPG
Hoa Phat Steel – 15 years of building leading position,2020-01-20,HPG
HPG reached unprecedentedly high liquidity on the HOSE,2020-07-08,HPG
Hòa Phát steel sales surge in July,2020-08-05,HPG
"Hoa Phat Group imported 13,000 of Australian cows to Vietnam",2020-11-06,HPG
PENM III Fund registered to sell HPG shares due to the fund’s close deadline,2020-11-25,HPG
Vietnamese billionaires’ net worth increases after battling headwinds of 2020,2021-01-07,HPG
Hoa Phat Group bought two large vessels for coal and iron ore transport,2021-03-01,HPG
hipages Group Holdings Limited (ASX: HPG) - Financials,2021-03-08,HPG
"Harmony Hoa Phat vessel completed the first voyage, carrying 80,000 tonnes of coal to the Dung Quat Port",2021-04-15,HPG
Mr. Nguyen Viet Thang appointed as General Director of Hoa Phat Group,2021-04-26,HPG
HPG-CAR seeks wider space for reg’l office - HERALD EXPRESS | News in Cordillera and Northern Luzon,2021-05-23,HPG
Hoa Phat Group's capitalisation on stock market exceeds US$10 billion,2021-06-01,HPG
Two new tycoons worth over US$1 billion on the stock market,2021-06-15,HPG
Hoa Phat Group’s chartered capital largest on Vietnam’s stock exchange,2021-06-23,HPG
Hoa Phat's electricity generation output reaches 1 billion kWh in H1,2021-07-20,HPG
Hoa Phat Group listed in the world’s Top 15 largest steel companies by market capitalization,2021-10-07,HPG
Hoa Phat Group accelerates large investments in home appliance production to catch the wave of production shift from China to Vietnam,2021-10-21,HPG
Intel Xe HPG Scavenger Hunt Is Your Shot To Win An Arc Alchemist GPU And It Starts Soon,2021-10-26,HPG
"Hoa Phat Group bought another 80,000 DW The Prosperity vessel",2021-12-16,HPG
Top 10 entrepreneurs in Vietnam's stock market in 2021,2022-02-01,HPG
"Hoa Phat Group exports first batch of 35,000 tons HRC to Europe",2022-02-07,HPG
Hòa Phát’s HRC sales reach record high,2022-04-05,HPG
PNP-HPG ‘rent-tangay’ ops shows why you shouldn’t hand your keys to just anybody,2022-05-13,HPG
Most investment funds in Việt Nam record negative performance in H1,2022-07-05,HPG
"HPG seizes 57 blinkers, 9 sirens from ordinary motorists from July 1-8",2022-07-08,HPG
Hoa Phat Group hit 5 million tons of HRC output,2022-08-29,HPG
The Best (and Only) Vietnam ETF,2022-09-22,HPG
HPG Forecast — Price Target — Prediction for 2027,2022-09-29,HPG
