Date,Header,Content
2009-01-13,HPG công bố doanh thu ước tính năm 2008 đạt 8.410 tỷ đồng,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Theo đó, ước tính cả năm 2008, doanh thu của toàn tập đoàn sẽ đạt 8.410 tỷ đồng, lợi nhuận sau thuế đạt 850 tỷ đồng - vượt 10% kế hoạch doanh thu và 15% kế hoạch lợi nhuận năm 2008. Như vậy, so với năm 2007, doanh thu và lợi nhuận sau thuế năm 2008 của toàn tập đoàn tăng 47% và 32%. Và thu nhập trên mỗi cổ phiếu (EPS) cả năm ước tính là 5.500 đồng/cổ phiếu. Đến nay, Tập đoàn Hòa Phát hiện có 8 công ty thành viên: Công ty Thiết bị phụ tùng Hòa Phát, Công ty CP Nội thất Hòa Phát, Công ty TNHH Ống thép Hòa Phát, Công ty TNHH Điện lạnh Hòa Phát, Công ty CP Xây dựng & Phát triển Đô thị Hòa Phát, Công ty Thương mại Hòa Phát, Công ty CP Thép Hòa Phát, Công ty TNHH Hòa Phát Lào và 3 công ty liên kết: Công ty CP xi măng Hòa Phát, Công ty CP Khoáng sản Hòa Phát, Công ty CP Khai khoáng Hòa Phát - SSG. Trong năm 2009, Hòa Phát sẽ đưa vào vận hành hai dự án lớn là khu liên hợp gang thép Hòa Phát và Dự án xi măng Hòa Phát (1 triệu tấn giai đoạn 1). Tính đến hết tháng 11/2008, vốn chủ sở hữu của toàn Tập đoàn hiện là 4.296 tỷ đồng. EPS cả năm ước tính là 5.500 đồng/CP. PE là 5 ở mức giá 30.000 đồng/CP. Trong năm 2008, HPG đã hoàn tất tạm ứng cổ tức bằng tiền mặt cho cổ đông hai lần, tổng cộng 20% mệnh giá. Hết năm 2008, số lượng cổ đông của HPG đã tăng lên hơn 11.000 cổ đông, gấp 5 lần thời điểm chào sàn. Tổng kết năm 2008, tổng số thu nộp ngân sách của toàn Tập đoàn là 546 tỷ đồng. Tuy nhiên, tính riêng quý IV, HPG lỗ hơn 230 tỷ đồng do phải trích lập dự phòng giảm giá thép tồn kho. Kết quả kinh doanh 4 quý năm 2008 của Tập đoàn Hòa Phát (dự trên số liệu công ty công bố) - Đơn vị: tỷ đồng. Năm 2008 Quý I Quý II Quý III Quý IV Doanh thu 2.313,57 2.680,296 1660,047 1.080,1 Lợi nhuận 450,5 395,286 234,3 (230,1) Thanh Tú"
2009-02-05,HPG: Quý IV/2008 lỗ 232 tỷ đồng,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI CTCP Tập đoàn Hòa Phát (mã CK: HPG) thông báo lợi nhuận sau thuế của công ty Quý IV/2008 lỗ 231,886 tỷ đồng và giảm 198% so với Quý III/2008. Theo đó, doanh thu thuần từ bán hàng và cung cấp dịch vụ của công ty trong Quý IV/2008 đạt 1813,19 tỷ đồng, giảm 0,43% (giảm 7,8 tỷ đồng) so với Quý IV/2007. Lũy kế cả năm đạt 8.335,05 tỷ đồng, tăng 47,76% (tăng 2.694 tỷ đồng) so với năm 2007. Trong Quý IV/2008, HPG lỗ 232 tỷ đồng. Tuy nhiên lũy kế cả năm, Công ty vẫn lãi 847,45 tỷ đồng, tăng 195,19 tỷ đồng (tương ứng tăng 29,93%) so với năm 2007. Lãi cơ bản trên cổ phiếu trong năm 2008, công ty đạt 4.404 đồng. Trong năm 2008, HPG đã hoàn tất tạm ứng cổ tức bằng tiền mặt cho cổ đông hai lần, tổng cộng 20% mệnh giá. Năm 2009, Hòa Phát sẽ đưa vào vận hành 2 dự án lớn là khu liên hợp gang thép Hòa Phát và Dự án xi măng Hòa Phát (1 triệu tấn giai đoạn I). Công ty nhận định đây sẽ là lợi thế lớn của Hòa Phát khi nền kinh tế ấm trở lại. Công ty đã có giải trình về một số nguyên nhân làm kết quả SXKD giảm như sau: Mảng SXKD mặt hàng thép của các công ty trong Tập đoàn : Lợi nhuận sau thuế giảm 178%. Nguyên nhân chính gây nên sự biến động giảm của lợi nhuận từ mảng SXKD thép như sau: - Do từ quý 3 sản lượng tiêu thụ đã giảm chỉ còn 40% so với các quý khác nên lượng hàng tồn kho giá cao đầu quý 4 của các công ty nhiều, đồng thời với sự khủng hoảng kinh tế toàn cầu giá thép và nguyên liệu sản xuất của ngành thép giảm giá kỷ lục chỉ còn 50%. Mặc dù lượng thép bán ra trong quý 4 đã tăng trở lại, sản lượng bán ra so với quý 3 của mảng SXKD thép tăng tới 70% nhưng giá thép bán ra trong nước cũng bị ảnh hưởng bởi giá thép thế giới nên giá bán ra thấp dưới giá thành sản xuất. - Dự phòng giảm giá hàng tồn kho : Mặc dù lượng hàng tồn kho giá cao đã được tiêu thụ rất tốt trong quý 4 nhưng do tình hình suy thoái kinh tế vẫn còn tiếp diễn nên công ty vẫn trích lập dự phòng hàng tồn kho 185 tỷ. Thanh Tú"
2009-02-10,"HPG: Đại hội cổ đông thường niên năm 2008, ngày đăng ký cuối cùng 20/02/2009","HPG: Đại hội cổ đông thường niên năm 2008, ngày đăng ký cuối cùng 20/02/2009"
2009-02-11,Thép Hòa Phát ký hợp đồng vay hơn 630 tỷ đồng,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Theo đó, tổng mức BIDV cho vay dự án là 637,5 tỷ đồng theo hình thức cho vay hợp vốn giữa các chi nhánh BIDV, do Chi nhánh Hà Thành làm đầu mối cho vay 237,5 tỷ đồng và các chi nhánh Thanh Xuân, Tây Hà Nội, Hải Dương, Tuyên Quang mỗi chi nhánh cho vay 100 tỷ đồng. Dự án Khu liên hợp sản xuất gang thép Hoà Phát do Công ty cổ phần Thép Hoà Phát làm chủ đầu tư được xây dựng trên diện tích 76ha tại địa phận xã Hiệp Sơn, huyện Kinh Môn, tỉnh Hải Dương với tổng mức đầu tư 2.222 tỷ đồng nhằm mục tiêu cung ứng ra thị trường khoảng 320.000 tấn thành phẩm phôi thép, thép xây dựng thành phẩm mỗi năm. Vũ Minh"
2009-03-04,"HPG: Quỹ VOF đã bán ra gần 3,4 triệu cổ phiếu","HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Lượng cổ phiếu đã bán tương đương với 80,1% lượng đăng ký trước đó là 4,224,000 cổ phiếu. Trước khi thực hiện giao dịch, VOF là cổ đông nội bộ đồng thời là cổ đông lớn nắm giữ 7,52% vốn điều lệ của Hòa Phát, tương ứng với 14.784.000 cổ phiếu. Đại diện của VOF là ông Don Di Lam hiện đang giữ chức vụ Thành viên HĐQT của Tập đoàn Hòa Phát. Sau khi bán xong, VOF vẫn còn nắm giữ 11.398.740 cổ phiếu, tương ứng với 5,8% vốn điều lệ. Kết thúc phiên giao dịch ngày 4/3, cổ phiếu HPG tăng nhẹ 200 đồng lên 24.900 đồng với 96.250 đơn vị được chuyển nhượng. Quốc Thắng"
2009-03-23,HPG: lợi nhuận sau thuế 2 tháng đạt 180 tỷ đồng,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Tổng kết tháng 2/2009, Hòa Phát đạt doanh thu 582 tỷ đồng và lợi nhuận sau thuế đạt 104 tỷ đồng. So với thông tin đăng tải trước đây trong bản tin của Tập đoàn Hòa Phát, doanh thu và lợi nhuận có sự chênh lệch (tăng) lần lượt là 47 tỷ và 4 tỷ đồng. Lũy kế 2 tháng đầu năm, công ty đạt 967 tỷ đồng doanh thu và 180 tỷ đồng lợi nhuận sau thuế. Về công tác đầu tư, Tập đoàn Hòa Phát đang tập trung cao độ để hoàn thành Dự án Khu liên hợp sản xuất Gang thép và Nhà máy Xi măng Hòa Phát trong năm 2009. Theo Kế hoạch, Đại hội cổ đông thường niên của Hòa Phát sẽ được tổ chức ngày 31/3 tại Khách sạn Hilton, Hà Nội. Hiện tại số lượng cổ đông của HPG là gần 11.000 cổ đông. Kết thúc phiên giao dịch ngày 23/3, cổ phiếu HPG giảm 100 đồng xuống 27.400 đồng với 559.280 đơn vị được chuyển nhượng. Quốc Thắng"
2009-04-03,HPG: Nghị quyết Đại hội cổ đông thường niên 2009,HPG: Nghị quyết Đại hội cổ đông thường niên 2009
2009-04-03,HPG: Tiêu thụ 74.000 tấn thép xây dựng trong quý I,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Cụ thể, với sản lượng trên, Công ty Cổ phần Tập đoàn Hòa Phát (HPG) công bố thị phần thép xây dựng Hòa Phát trong quý I chiếm khoảng 10% trên cả nước. Tính riêng tháng 3, Hòa Phát sản xuất 31.075 tấn thép xây dựng, sản lượng bán hàng đạt 30.634 tấn. Dự kiến trong cuối quý III năm nay, dự án Khu Liên hợp Gang thép Hòa Phát với tổn g mức đầu tư 2.222 tỷ đồng, mục tiêu cung ứng ra thị trường khoảng 320.000 tấn thành phẩm phôi thép, thép xây dựng thành phẩm mỗi năm sẽ được đưa vào hoạt động. Phương án sản xuất kinh doanh năm 2009 của HPG vừa được ĐHCĐ thông qua là 6.318 tỷ đồng doanh thu và 585 tỷ đồng lợi nhuận sau thuế (EPS dự kiến là 2.980 đồng/CP, tỷ lệ cổ tức dự kiến là 20%). Con số này khá thấp so với kết quả đạt được năm 2008 của HPG là 8.502 tỷ đồng doanh thu và lợi nhuận sau thuế là 859 tỷ đồng. V.Minh"
2009-04-07,HPG: Trả 10% cổ tức đợt 3 năm 2008,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Theo Sở giao dịch chứng khoán TP HCM, ngày đăng ký cuối cùng để trả cổ tức năm 2008 của Công ty cổ phần Tập đoàn Hòa Phát là 16/4/2009. Ngày giao dịch không hưởng quyền vào14/4/2009. Cổ tức đợt 3/2008, công ty thanh toán bằng tiền mặt, tỷ lệ 10%/mệnh giá (1000 đồng/cổ phiếu). Cổ đông nhận cổ tức từ 29/4/2009. Cổ đông đã lưu ký chứng khoán sẽ nhận cổ tức bằng tiền mặt tại CTCK nơi cổ đông mở tài khoản. Đối với cổ đông chưa lưu ký chứng khoán sẽ nhận cổ tức tại Văn phòng Tập đoàn Hòa Phát. Trung tâm lưu ký chứng khoán chi nhánh Tp HCM sẽ tạm ngừng nhận lưu ký cổ phiếu HPG vào ngày 15, 16/4&17/4/2009. Được biết, kết thúc quý I/2009, Hòa Phát công bố đã sản xuất 80.900 tấn, vượt 8,3% so với cùng kỳ năm ngoái; tiêu thụ trên 74.000 tấn thép xây dựng, giảm 9,6% so với cùng kỳ. Phương án sản xuất kinh doanh năm 2009 của HPG vừa được ĐHCĐ thông qua là 6.318 tỷ đồng doanh thu và 585 tỷ đồng lợi nhuận sau thuế (EPS dự kiến là 2.980 đồng/CP, tỷ lệ cổ tức dự kiến là 20%). Vũ Minh"
2009-04-16,HPG: VOF Investment đăng ký bán 4.000.000 cổ phiếu,"HPG&: Giá hiện tại Thay đổi Xem hồ sơ doanh nghiệp TIN MỚI Hiện tại, quỹ VOF Investment Limited (do VinaCapital quản lý) đang là cổ đông lớn năm giữ 11.398.740 cổ phiếu HPG, tương ứng 5,8% vốn điều lệ của CTCP Tập đoàn Hòa Phát. Đại diện của VOF là ông Don Di Lam hiện đang giữ chức vụ Thành viên HĐQT của Hòa Phát. Nếu thực hiện bán hết lượng cổ phiếu đăng ký, lượng nắm giữ HPG của VOF Investment sẽ giảm xuống còn 7.398.740cổ phiếu (tương đương 3,77% vốn). Trong thời gian từ 28/08/2008 đến 28/02/2009, VOF Investment Limited cũng đã bán ra 3.385.260 cổ phiếu HPG. Kết thúc phiên giao dịch ngày 16/4, cổ phiếu HPG tăng 1.900 đồng lên 40.000 đồng với hơn 1,68 triệu đơn vị được chuyển nhượng. Quốc Thắng"
