Date,Header,Content
2009-04-26,Buôn khống cổ phiếu OTC: Chết có ngày!,Buôn khống cổ phiếu OTC: Chết có ngày!
2009-08-20,Cổ phiếu vàng trên thị trường OTC,Cổ phiếu vàng trên thị trường OTC
2011-11-01,Biển Đông : Trung Quốc gián tiếp đe dọa tập đoàn dầu khí Mỹ Exxon,Biển Đông : Trung Quốc gián tiếp đe dọa tập đoàn dầu khí Mỹ Exxon
2012-05-08,Exxon Mobil soán ngôi Walmart để đứng đầu Fortune 500,"TIN MỚI Kết quả kinh doanh của Exxon Mobil trong năm 2011 cực kỳ ấn tượng, với giá cổ phiếu tăng 20%, lợi nhuận tăng mạnh đến 35% đạt mức 41,1 tỉ USD và doanh số nhảy vọt 28% lên mức 453 tỉ USD. Theo CNN Money, chính cơn sốt giá dầu trong thời gian gần đây, nhất là trong ba tháng cuối năm 2011, đã đem về cho Exxon Mobil những khoản lợi nhuận khổng lồ. Ngoài ra, tập đoàn này cũng đã nhanh nhạy sử dụng kỹ thuật fracking để tăng cường khai thác khí đốt tự nhiên. Đây là kỹ thuật bơm một lượng lớn nước trộn với cát và hóa chất với áp suất cao xuống lòng đất để cắt phá đá phiến sét, qua đó giải phóng dầu và khí đốt bị kẹt lại trong lớp đất đá này. Sản lượng khai thác khí đốt của Exxon Mobil hiện cũng cao ngang ngửa với sản lượng sản xuất dầu nhờ thương vụ thâu tóm công ty năng lượng XTO Energy trị giá 35 tỉ USD trong năm 2010. Rex W.Tillerson, Tổng giám đốc Exxon Mobil nói với tạp chí Fortune rằng việc khai thác dầu và khí đốt bằng fracking sẽ được đẩy mạnh do nhu cầu năng lượng toàn cầu sẽ tăng đáng kể trong một vài thập niên tới. Tập đoàn bán lẻ Walmart rơi xuống vị trí thứ 2 sau hai năm liên tiếp thống trị bảng xếp hạng. Tập đoàn này đã buộc phải hạ mạnh giá bán nhằm thúc đẩy doanh số đang trong đà suy giảm tại chuỗi cửa hàng ở Mỹ. Điều này giúp làm tăng doanh số bán hàng trong năm 2011 lên thêm 6%, nhưng khiến lợi nhuận giảm 4,6% xuống còn 15,7 tỉ USD. Trong khi đó, công việc kinh doanh của Walmart tại nước ngoài vẫn phát đạt, với doanh số bán hàng ngoài thị trường Mỹ năm ngoái tăng 13%, lên mức 35,3 tỉ USD. Tuy nhiên, Walmart hiện đang gặp trở ngại tại thị trường quan trọng Mexico sau vụ bê bối hối lộ của chi nhánh tại đây. Chevron, tập đoàn dầu khí lớn thứ hai của Mỹ, đứng yên ở vị trí thứ ba trong bảng xếp hạng năm nay. Mặc dù giá dầu tăng, nhưng vào quý bốn năm ngoái, Chevron lại chịu một khoản lỗ lớn nhất trong hai năm vừa qua, chủ yếu là do tình hình kinh doanh ảm đạm của mảng lọc dầu tại Mỹ. Hiện tập đoàn này đang chi mạnh tay cho các dự án khai thác dầu khí tại Úc, châu Phi và vịnh Mexico. Các dự án này dự kiến sẽ bắt đầu sinh lời vào năm 2014. Ngoài ra, Chevron đang phải bận rộn với cuộc chiến pháp lý tại Brazil nơi mà tập đoàn này bị kiện vì sự cố tràn dầu cuối năm 2011 với số tiền bồi thường lên đến 11 tỉ USD. Đứng ở vị trí thứ 4 cũng là một công ty khai thác dầu khí - ConocoPhillips. Trong năm ngoái, công ty này đã khiến các nhà đầu tư lại “tròn xoe mắt” khi tuyên bố sẽ tách ra thành 2 công ty, bao gồm một công ty chuyên về tìm kiếm sản xuất dầu khí và một công ty chuyên về lọc dầu và marketing với tên gọi Phillips 66. Việc phân tách sau đó đã diễn ra vào ngày 30.4.2012. Lãnh đạo ConocoPhillips hy vọng bước đi này sẽ giúp cải thiện khả năng cạnh tranh của công ty trên thị trường toàn cầu và thu hút thêm được nhiều nhà đầu tư. Xếp sau ConocoPhillips là General Motors. Hãng sản xuất xe hơi lớn nhất nước Mỹ đã nhảy từ vị trí thứ 8 lên vị trí thứ 5 trong bảng xếp hạng năm nay. Cách đây hai năm, hãng này buộc phải đệ đơn xin bảo hộ phá sản; nhưng trong năm 2011, General Motors đã thể hiện một sự hồi phục đáng nể. Lợi nhuận của General Motors vào năm ngoái tăng vọt 49% lên mức 9,2 tỉ USD, trong khi doanh số tăng 11% lên mức 150,3 tỉ USD. General Motors cũng giành lại được danh hiệu hãng sản xuất xe có doanh số cao nhất thế giới mà Toyota đoạt lấy vào năm 2008. Ngoài ra, các tập đoàn sừng sỏ khác như quỹ đầu tư Berkshire Hathaway của tỷ phú Warren Buffett, hãng sản xuất máy tính Dell và tập đoàn sản xuất thiết bị công nghệ Apple cũng có tên trong danh sách Fortune 500. Được biết, bảng xếp hạng Fortune 500 được tạo ra dựa trên doanh thu và lợi nhuận trong một năm của các doanh nghiệp Mỹ. Bảng xếp hạng đầu tiên được công bố vào năm 1955. Danh sách 10 doanh nghiệp Mỹ có kết quả kinh doanh tốt nhất trong năm 2011, theo Fortune: Hạng Tên công ty Doanh số (tỉ USD) Lợi nhuận (tỉ USD) 1 Exxon Mobil 453 41,1 2 Walmart 447 15,7 3 Chevron 246 27 4 ConocoPhillips 237 12,4 5 General Motors 150 9,2 6 General Electric 148 14 7 Berkshire Hathaway 144 10 8 Fannie Mae 137 16,7 9 Ford Motor 136 20,2 10 Hewlett-Packard 127 7,1 Theo Hoàng Uy Thanh niên"
2012-08-27,Exxon Mobil và quyền lực năng lượng,"TIN MỚI Khi châu Âu lao vào cuộc đua tranh giành thuộc địa nhiều thế kỷ trước, các công ty thương mại thời đó, nổi bật nhất là công ty Đông Ấn của Anh đã là lực lượng đi tiên phong, mở đường cho công cuộc xâm chiếm thuộc địa của các đế quốc. Các công ty này có một mạng lưới quân đội riêng và có rất nhiều ảnh hưởng tới chính phủ ở ""mẫu quốc"", họ sử dụng tiền của chính phủ để vừa thực hiện tham vọng của các đế quốc và vừa nhằm phục vụ mục tiêu thu lợi nhuận về cho công ty. Những đế chế như vậy vẫn tồn tại trong xã hội hiện nay dưới dạng các tập đoàn, công ty đa quốc gia, với các hoạt động tinh vi hơn và quy mô hoạt động cũng rộng lớn hơn, tầm ảnh hưởng của các công ty này đã vượt qua biên giới một quốc gia. Exxon Mobil, tập đoàn năng lượng khổng lồ của Mỹ, là một trong số đó. Tập đoàn số 1 của Mỹ Năm 2011, nhờ cơn sốt giá dầu trên thị trường thế giới,doanh thu của Exxon Mobil đã đạt hơn 450 tỷ USD, vượt qua hãng bán lẻ Walmart để dẫn đầu danh sách 500 công ty hàng đầu nước Mỹ do tạp chí Fortune bình chọn. Kết quả kinh doanh của Exxon Mobil cực kỳ ấn tượng, giá cổ phiếu tăng 20%, lợi nhuận tăng mạnh đến 35% đạt mức 41,1 tỉ USD và doanh số nhảy vọt 28% lên mức 453 tỉ USD. Sản lượng khai thác khí đốt của Exxon Mobil hiện cũng cao ngang ngửa với sản lượng sản xuất dầu nhờ thương vụ thâu tóm công ty năng lượng XTO Energy trị giá 35 tỉ USD trong năm 2010. Tới nay tập đoàn hùng mạnh này đã bành trướng đế chế của mình tới 200 quốc gia và vùng lãnh thổ và có một chính sách đối ngoại riêng sặc mùi thương mại. Chính sách đối ngoại này được điều hành bởi có một đội ngũ rất chuyên nghiệp, đa số là những thành viên của Hội đồng an ninh quốc gia và Bộ Ngoại giao Mỹ. Chính sách của Exxon Mobil về cơ bản gắn liền với đường lối của chính quyền Mỹ nhưng nếu không phù hợp với lợi ích của mình, tập đoàn này sẵn sàng phớt lờ giới chức chính quyền. Chính cựu Giám đốc điều hành Raymond của Exxon từng tuyên bố ""Chúng tôi không phải là một công ty Mỹ và những quyết định của chúng tôi không hoàn toàn dựa trên những lợi ích cho nước Mỹ"". Một bức điện tín bị rò rỉ từ Đại sứ quán Mỹ tại Cộng hòa Tchad cho hay Exxon Mobil đã không thể hiện sự tôn trọng đúng mức đối với giới ngoại giao Mỹ tại Tchad. Có lẽ bởi một điều rất đơn giản là giá trị đầu tư của Exxon vào dự án dầu mỏ Tchad-Cameroun đã vượt qua cả viện trợ thường niên của Mỹ vào quốc gia Trung Phi này, 4,2 tỷ USD so với 3 tỷ USD. Exxon cũng không mấy mặn mà với chiến dịch tấn công quân sự vào Iraq và là một trong số ít các tập đoàn năng lượng không nhiệt thành ủng hộ chính quyền Bush đánh quốc gia Trung Đông nhiều dầu mỏ này. Nguyên nhân có lẽ là do Exxon biết dù ai nắm quyền ở Iraq cũng sẽ phải cần tới công nghệ và vốn của Exxon Mobil. Giống như nhiều tập đoàn hùng mạnh khác, Exxon Mobil cũng xây dựng lực lượng an ninh riêng để bảo vệ các lợi ích kinh tế của mình. Tại Cộng hòa Tchad, đế chế này sử dụng 2.500 nhân viên an ninh tuần tra trên các xe được trang bị điện đàm để ngăn chặn các cuộc tấn công hay xâm phạm của lực lượng quân du kích địa phương. Ngoài ra, Exxon Mobil còn tiến hành các điệp vụ tình báo được đánh giá là còn lớn và chuyên nghiệp hơn cả CIA.Tại khu vực châu thổ sông Niger, Exxon cung cấp tàu thuyền cho quân đội nước này, giúp triển khai các trạm tuần tra trên biển để ngăn chặn cướp biển và ""tuyển dụng, trả lương, trang bị và quản lý các đơn vị quân đội, cảnh sát của Niger"". Tầm ảnh hưởng và chi phối của Exxon Mobil tại Niger lớn tới mức trên tất cả các bộ sắc phục của cảnh sát nước này đều có logo con ngựa bay của hãng. Tại Aceh, Indonesia, Mobil còn giành phần trả luơng cho các thành viên của lực lượng chống phiến quân ở quốc gia vạn đảo. Các khoản đầu tư này không hề bị dừng lại ngay cả khi quan hệ giữa Mỹ và Indonesia bị trục trặc và Mỹ ngừng tài trợ quân sự cho Indonesia. Lợi nhuận là trên hết Tại Washington, Exxon Mobil liên tục tiến hành các chiến dịch vận động hành lang rất rầm rộ nhằm giữ mức thuế đánh vào dầu mỏ và khí đốt ở mức thấp. Ngoài ra, tập đoàn còn có những khoản ""đầu tư"" rất chiến lược là hỗ trợ các ứng viên Tổng thống, các thành viên của Quốc hội Mỹ trong các đợt tranh cử để các chính trị gia hàng đầu này biết ơn và sẽ bảo vệ quyền lợi của Exxon - một dạng đầu cơ chính trị. Là nguyên nhân của hiện tượng nóng lên toàn cầu và nhiều vụ tràn dầu lịch sử song trong nhiều năm qua, các hãng dầu mỏ đã tuyên bố rằng sự tác động của con người tới hiện tượng ấm dần lên của Trái đất là không đáng kể và đã đầu tư hàng triệu đô la vào các cơ quan nghiên cứu để cho ra những báo cáo khẳng định nhận định này của họ là đúng. Cũng trong suốt thời gian qua, Exxon Mobil đã tiến hành một cách khéo léo nhiều cuộc vận động nhằm hạn chế sự công kích của dư luận từ góc nhìn kể trên, đồng thời nhấn mạnh rằng kinh tế thế giới luôn cần một lượng lớn dầu mỏ và khí ga. Đáng buồn là điều này đúng. Giới lãnh đạo của Exxon Mobil không hề quan tâm tới những lo lắng của người dân về hiện tượng biến đổi khí hậu, với họ lợi nhuận thu về từ dầu mỏ mới là quan trọng nhất. Tập đoàn này có những cách truyền thông và định hướng tình cảm dư luận rất ""chu đáo"". Chẳng hạn, sau vụ tràn dầu lịch sử do Exxon gây ra tại Maryland khi làm tràn 24.000 gallon dầu vào nguồn cung cấp nước của tiểu bang này và phải trả những khoản bồi thường theo phán quyết của tòa án, tập đoàn đã bí mật thuê giáo sư danh tiếng tại đại học Wisconsin (và có thể còn nhiều người khác) để viết những bài báo biện minh cho hoạt động của mình. Những hoạt động ám muội này gần đây đã được nhà báo kỳ cựu của tờ New York Times, Steve Coll, tác giả của hai cuốn sách đoạt giải Pulitzer""The Bin Ladens"" (2008) và ""Ghost Wars"" (2004), ghi lại chi tiết trong cuốn sách mới nhất của mình mang tên ""Private Empire"". Theo A Vũ Vietnamnet"
2012-11-13,Nghề môi giới chứng khoán trước sóng gió thị trường,Nghề môi giới chứng khoán trước sóng gió thị trường
2013-01-29,20 năm cuộc đua giá trị Apple - Exxon Mobil,"TIN MỚI Tuần trước, giá cổ phiếu của Apple sụt tới 14,4% xuống còn 440,13 USD/cổ phiếu. Với mức giảm giá cổ phiếu này, giá trị vốn hóa của Apple chỉ còn 413 tỷ USD, kém 4 tỷ USD so với giá trị vốn hóa của Exxon (417 tỷ USD tính tới ngày 25/1). Ngôi vị quán quân trên thị trường chứng khoán Mỹ về giá trị vốn hóa thị trường đã được trả lại cho ""cựu vương"" Exxon, sau khi bị Apple giữ suốt năm. Việc Apple mất ngôi đầu về giá trị vốn hóa thị trường cho thấy sự đi xuống của cổ phiếu hãng công nghệ này chỉ trong một thời gian ngắn, khi liên tục chịu sức ép từ các chuyên gia phân tích thị trường đối với tình hình lỗ lãi kinh doanh trong quý cuối cùng của năm 2012 cũng như những dự báo kém tươi sáng về triển vọng thời gian tới. Bảng so sánh tình hình giao dịch giá cổ phiếu Apple (đường màu xanh) và Exxon (đường màu cam) trong vòng 20 năm qua - Ảnh: SAI. Tập đoàn dầu khí Exxon Mobil đã giữ vững ngôi vị công ty có giá trị vốn hóa thị trường lớn nhất trên thị trường chứng khoán Mỹ trong một giai đoạn dài, từ năm 2006 cho tới cuối tháng 1 năm ngoái. Trong cả năm 2011, Exxon đã liên tục bị Apple chèn ép, tới 6 lần, nhưng khả năng duy trì ở mức giá cao của cổ phiếu Apple không ổn định. Chỉ tới tận ngày 25/1/2012, ngôi vương này mới lọt vào tay Apple. Chuyên gia John Stoltzfus của Oppenheimer mới đây đã đưa ra một biểu đồ so sánh sự lên xuống về giá cổ phiếu của hãng công nghệ Apple và tập đoàn dầu khí Mỹ Exxon. Nhìn vào biểu đồ này có thể thấy, giá cổ phiếu của Exxon tăng rất ổn định, ít cao trào. Giai đoạn giá cổ phiếu Exxon lên cao nhất nằm trong khoảng giữa năm 2007 và 2009, nhưng sau đó giảm dần cho tới đầu năm 2011 thì lại nâng dần. Ngược lại, cổ phiếu Apple lại đì đẹt suốt một chặng đường dài, từ năm 1993 cho tới đầu 2005. Giai đoạn từ 2007 đến 2009, cổ phiếu của hãng công nghệ này cũng có sự biến động nhưng không tạo được cao trào nào đáng kể. Bắt đầu từ năm 2009 cho tới năm ngoái, cổ phiếu Apple liên tục leo dốc theo chiều thẳng đứng và lập đỉnh vào giữa tháng 9/2012. Từ cuối 2012 tới nay, giá cổ phiếu này rơi tự do. Từ biểu đồ so sánh cho thấy, giá cổ phiếu của Apple thực tế mới vượt lên trước Exxon trong một thời gian ngắn và thiếu ổn định, tăng rất mạnh nhưng giảm cũng rất sâu. Trong khi đó, cổ phiếu của Exxon dao động khá nhịp nhàng, những biến động lớn không quá sốc, mà có vẻ theo tính chu kỳ, quãng trống giữa các đợt lên xuống không quá dài, không tạo ra những hình tháp đột biến khiến nhà đầu tư lo sợ. Những phân tích khác về thị phần thiết bị di động chạy nền tảng iOS và Android được công bố mới đây, cũng cho thấy sự đi xuống của giá cổ phiếu Apple là chuyện dễ hiểu. Theo công bố của hãng nghiên cứu Strategy Analytics, trong quý cuối năm 2012, doanh số bán các sản phẩm chạy nền tảng Android dẫn đầu thị trường với 152,1 triệu máy, gần gấp đôi số lượng 80,6 triệu máy trong cùng kì năm 2011. Thị phần của Android tăng từ 51% của quý 4/2011 lên 70% quý 4/2012. Tính cả năm, các hãng sản xuất điện thoại chạy nền tảng Android đã xuất xưởng được gần nửa tỷ smartphone. Trong khi đó, về phía Apple, trong 3 tháng cuối năm, hãng xuất xưởng 47,8 triệu iPhone, chiếm 22% thị phần, giảm từ 24% của cùng kì năm 2011. Mặc dù vẫn chiếm vị trí cao, nhưng rõ ràng thị phần của Apple đã giảm sút. Theo nhà phân tích Neil Mawston của Strategy Analytics, ngôi vị đầu bảng của Android là không có gì bàn cãi. Trong một bài viết mới đây, hãng tin Reuters cũng nhấn mạnh tới sự nhàm chán của iPhone cùng với việc ngày càng nhiều thiết bị cạnh tranh được tung ra thị trường, người dùng đã bắt đầu tìm đến thương hiệu khác, đặc biệt là sự trỗi dậy của Samsung khiến thị phần Apple đang bị mất đáng kể. “Apple vẫn được xem là thương hiệu danh giá, nhưng hiện tại đã có quá nhiều smartphone thời thượng khác khiến sức cạnh tranh trên thị trường ngày càng khốc liệt”, Tom Clayton, Giám đốc điều hành công ty Bubble Motion ở Singapore phát triển mạng xã hội địa phương Bubbly, nói với hãng tin Reuters. Sự lu mờ của thương hiệu Apple có thể nhìn thấy một cách rõ ràng ở nhiều thị trường quan trọng. Tuy nhiên, tất cả những phân tích ở trên chưa hẳn đã đúng. Apple từng là ""người tiên phong"" trong lĩnh vực công nghệ thời thượng và cổ phiếu của hãng vẫn được xem là hàng ""hot"" trên thị trường. Việc Apple mất ngôi quán quân về giá trị vốn hóa thị trường vào tay Exxon có thể không hề kéo dài. Lấy ví dụ phiên hôm qua (28/1), giá cổ phiếu này bật hơn 2%, làm co rút khoảng chênh giá trị so với Exxon. Theo Hải Yến VnEconomy"
2013-04-08,Những tập đoàn xăng dầu bá chủ thế giới,Những tập đoàn xăng dầu bá chủ thế giới
2013-11-15,Warren Buffett bỏ hơn 3 tỷ USD mua cổ phiếu Exxon Mobil,"TIN MỚI Tập đoàn Berkshire Hathaway của tỷ phú lừng danh vừa mua lại 3,7 tỷ USD cổ phần của Exxon Mobil Corp. Đây là thương vụ mua cổ phiếu lớn nhất kể từ khi Berkshire mua cổ phần của IBM năm 2011. Theo tài liệu vừa được nộp lên cơ quan quản lý, tính đến ngày 30/9, Buffett sở hữu 40,1 triệu cổ phiếu của Exxon. Kết thúc phiên hôm qua, cổ phiếu của công ty dầu mỏ lớn nhất thế giới (tính theo giá trị thị trường) đóng cửa ở mức 93,22 USD/cổ phiếu. Sau khi thông tin trên được công bố, cổ phiếu của Exxon tiếp tục tăng lên 93,90 USD trong những giờ giao dịch ngoài giờ. Theo David Kass – chuyên gia đến từ ĐH Maryland, Buffett nhận định cổ phiếu của Exxon Mobil vẫn ở dưới giá trị và phần lớn thị trường đang bỏ qua nó. Buffett cũng hiểu rất rõ về công ty này. Exxon được thành lập từ những năm 1880 và là một trong những công ty năng lượng hoạt động hiệu quả nhất trên thế giới. Chi phí khai thác dầu mỏ của Exxon chỉ ở mức 19,27 USD/thùng trong khi của Chevron và BP lần lượt là 21,48 và 22,66 USD. Từ lâu nay Buffett đã tham gia đầu tư trên thị trường năng lượng và gặt hái được cả thành công cũng như thất bại. Năm 2007, ông thắng lớn khi bán cổ phần của PetroChina sau khi giá cổ phiếu tăng gấp 8 lần so với thời điểm ông rót 488 triệu USD vào công ty này năm 2003. Ngược lại, năm 2009, Berkshire cũng có quý lỗ đầu tiên trong 2 thập kỷ sau khi cổ phiếu của ConocoPhillips giảm giá. Buffett thừa nhận ông đã mắc sai lầm lớn khi đầu tư vào thời điểm giá dầu gần với mức đỉnh. Theo Thiên Bình"
2014-07-12,Tập đoàn Exxon Mobil (Mỹ): Đầu tư 20 tỷ USD khai thác khí đốt tại miền Trung,"TIN MỚI Tập đoàn Exxon Mobil (Mỹ) đang cân nhắc lựa chọn các phương án đưa khí vào bờ và xây nhà máy điện công suất lớn tại hai tỉnh Quảng Nam và Quảng Ngãi với tổng vốn đầu tư khoảng 20 tỷ USD. Ngày 15/7 tới, lãnh đạo các Bộ, ngành Trung ương, Tập đoàn Dầu khí Việt Nam cùng đại diện Tập đoàn Exxon Mobil sẽ về miền Trung khảo sát chuẩn bị triển khai dự án nói trên. Tập đoàn này đang xem xét hai phương án: Đưa khí từ mỏ Cá Voi Xanh vào bờ ở khu vực bàu Cá Cái, gần sát nhà máy lọc dầu Dung Quất và xây nhà máy điện tại Quảng Ngãi. Hoặc đưa khí vào khu vực cảng Tam Hiệp, huyện Núi Thành (Quảng Nam) và xây dựng nhà máy điện tại xã Bình Thạnh, huyện Bình Sơn (gần khu du lịch Thiên Đàng), Khu kinh tế Dung Quất. Exxon Mobil là Tập đoàn dầu khí quốc gia Mỹ có tổng doanh thu lớn nhất thế giới với 404,5 tỷ USD trong năm 2007, trong đó lợi nhuận khoảng 40,6 tỷ USD. Đây là tập đoàn dầu khí lớn thứ hai thế giới sau Rosneft của Nga với sản lượng dầu thô khai thác hàng ngày khoảng 6,5 triệu thùng. Nhiều năm qua, Exxon Mobil có thỏa thuận hợp tác thăm dò dầu khí với Việt Nam trên Biển Đông. Ngoài Exxon Mobil, một đại gia dầu khí của Nga là Gazprom Neft cũng lên kế hoạch mua 49% cổ phần của nhà máy lọc dầu Dung Quất và đầu tư mở rộng nhà máy. Hiện thỏa thuận khung đã được công ty Gazprom Neft (Nga) và Tập đoàn Dầu khí Việt Nam (Petro Vietnam) ký kết. Đây cũng là nội dung về việc hợp tác đầu tư dự án nâng cấp nhà máy lọc dầu Dung Quất. Đầu tháng 7/2014, ông Ngô Thường San, Chủ tịch Hội Dầu khí Việt Nam khẳng định, sự kiện Trung Quốc đưa giàn khoan Hải Dương 981 quấy nhiễu ở Biển Đông không làm các đối tác nước ngoài (Exxon Mobil, Gazprom, Murphy…) đang hợp tác khai thác dầu khí với Việt Nam lo sợ. ""Các đối tác nước ngoài vẫn triển khai bình thường các hợp đồng đã ký với Tập đoàn Dầu khí Việt Nam. Họ quan tâm nhiều về yếu tố kinh tế hơn là sự đe dọa hiện nay của phía Trung Quốc. Là những tập đoàn lớn, tầm cỡ quốc tế, khi ký với Việt Nam họ cũng đã tìm hiểu rất kỹ về luật và quy định quốc tế về biển trong đó có biển Đông. Họ có đội ngũ tư vấn luật rất giỏi và chuyên nghiệp. Việt Nam đang tích cực tạo sự thông thoáng về luật pháp để cùng các công ty nước ngoài triển khai các hợp đồng dầu khí và đẩy mạnh công tác thăm dò và khai thác ở vùng biển đặc quyền kinh tế của Việt Nam"", ông San cho biết. >>>Gazprom muốn mua 49% cổ phần lọc dầu Dung Quất Theo Minh Thái"
