title,date,stock
Vietnam's Very Own Tech Star,2007-03-02,FPT
IT giant FPT launches venture fund,2015-05-28,FPT
Vietnam’s 20 most influential businesswomen - Vietnam Investment Review,2017-03-08,FPT
FPT global expansion plows on with fifth US office,2017-09-11,FPT
FPT Vietnam recognised as first premier partner of AWS in ASEAN - Vietnam Investment Review,2018-04-05,FPT
FPT Stock Price and Chart — HOSE:FPT,2018-06-21,FPT
Technical Analysis of FPT Corp. (HOSE:FPT),2018-06-21,FPT
FTS Stock Price and Chart — HOSE:FTS,2018-06-21,FPT
How high is the salary expected by university lecturers?,2018-10-24,FPT
FPT 10-month net profit rises 19% to $114 million,2018-11-15,FPT
FRT: FPT Digital Retail Joint Stock Company - FRT JSC - Business records,2019-06-14,FPT
FOC Stock Price and Chart — UPCOM:FOC,2020-09-26,FPT
FOX Stock Price and Chart — UPCOM:FOX,2020-09-26,FPT
FPT Corp. Financial Statements – HOSE:FPT,2021-03-25,FPT
FPT profit rises by 20 pct,2021-10-21,FPT
FPT to pay cash dividend at 40 per cent,2022-03-25,FPT
FPT Forecast — Price Target — Prediction for 2027,2022-08-17,FPT
FPT Corp. Earnings and Revenue – HOSE:FPT,2022-08-27,FPT
FPT,2023-01-22,FPT
FPT,2023-01-26,FPT
Cổ phiếu FPT – Overview and evaluation,2023-02-16,FPT
Electronic retailer Mobile World grows revenues in Indonesia,2023-09-17,FPT
FPT Corporation sees both revenue and profit up in 8 months,2023-09-19,FPT
"Frasers Property Thailand reports nearly THB 15 billion in revenue for FY2024, expands industrial portfolio to 3.6 million sqm and maintains strong office and retail occupancy of 92%",2024-01-14,FPT
Long Chau pharmacy chain revenues rise by 66%,2024-01-29,FPT
FPT Retail boldly bets on Long Chau pharmacy chain,2024-02-11,FPT
"Vuong tops list of billionaires, Binh in the top 10",2024-02-16,FPT
FPT makes first company acquisition in Japan,2024-03-01,FPT
"FPT Retail to open 400 Long Chau pharmacies, 100 vaccination centers in 2024",2024-03-27,FPT
FPT Retail to build 'healthcare ecosystem',2024-04-18,FPT
FPT and NVIDIA ink MoU to build $200m AI factory,2024-04-23,FPT
"Vietnam tech giant FPT to invest $200 mln in AI factory, utilizing Nvidia technology",2024-04-23,FPT
FPT Retail turns profitable after four consecutive quarterly losses,2024-04-27,FPT
"Vietnam tech giant says paying AI, data engineers up to $400,000 a year",2024-06-14,FPT
Foreign investors net sell $118.63 mln of FPT shares amid strong gains,2024-06-24,FPT
Vietnam tech giant FPT’s pre-tax profit rises 20% in 6 months,2024-07-19,FPT
FPT Retail’s Long Chau vaccination chain again found violating professional standards,2024-08-10,FPT
VN-Index starts week in green as European stocks gain,2024-08-12,FPT
FPT plans major expansion in Japan with cloud and AI services,2024-08-24,FPT
"FPT Retail earns $6.5 mln in Q3 profit, to expand FPT Shop chain",2024-10-31,FPT
FPT chairman Truong Gia Binh: a decade of groundwork led to Nvidia partnership,2024-12-10,FPT
FPTVN19,2024-12-14,FPT
"Vietnam’s ICT industry makes global waves with ""Make in Vietnam"" strategy",2025-01-06,FPT
Việt Nam tech giant FPT rides high profit,2025-01-24,FPT
"FPT Retail reports $21 mln pre-tax profit in 2024, shares hit record highs",2025-01-29,FPT
Vietnam tech giant FPT’s stock faces net selling by most funds in Feb,2025-04-02,FPT
"FPT sets bold 2025 goals, eyes AI and semiconductor breakthroughs",2025-04-16,FPT
"Vietnam's top technology firm FPT partners with Sumitomo, SBI Holdings",2025-04-22,FPT
"Sumitomo, SBI Throw Support Behind FPT's Nvidia-Powered AI Expansion",2025-04-22,FPT
Vietnam’s AI ambitions hinge on one $8.8 billion tech company,2025-05-29,FPT
"Dragon Capital reduces stake in FPT Retail, no longer a major shareholder",2025-07-29,FPT
Starlink opens first ground station in Vietnam with FPT partnership,2025-08-20,FPT
Vietnamese technology stocks decline despite stock market uptrend,2025-08-22,FPT
Vietnam’s FPT Telecom posts record net profit in Q2,2025-08-26,FPT
"Daythree ropes in FPT Software as partner, raises RM11m from share subscription",2025-09-17,FPT
Chelsea Football Club and FPT Elevate and Expand Partnership to Principal Status,2025-10-22,FPT
Vietnam tech giant FPT's logo to be featured on Chelsea FC sleeves,2025-10-27,FPT
Vietnam’s retail giants report surging profits as consumers shift to modern trade channels,2025-11-06,FPT
FPT Telecom to hold first extraordinary shareholders meeting after transfer,2025-11-17,FPT
"Share of overseas revenue of FPT Corporation in 2023, by country",2025-11-27,FPT
Consolidated revenue of FPT Corporation from financial year 2016 to 2023,2025-11-27,FPT
SA Recycling completes FPT facilities purchase,2025-12-12,FPT
FPT Telecom sets sights on top spot in Vietnam’s internet TV market,2025-12-30,FPT
VN-Index rebounds on large-cap stocks,2026-01-17,FPT
FPT Telecom sustains growth momentum after state capital oversight transfer to public security ministry,2026-01-25,FPT
FPT secures over $1.5 billion in new global IT service contracts,2026-01-27,FPT
FPT Retail breaks out in 2025 on pharmacy chain expansion,2026-01-30,FPT
FPT Retail targets robust growth after record profit year,2026-02-09,FPT
Vietnamese firms bet big on 2026 with ambitious profit targets,2026-02-16,FPT
"SE Asia banks tap AI for 41,000 daily calls in Agora–FPT tie-up",2026-02-24,FPT
VN-Index drops more than 100 points as global energy shock hits markets,2026-03-09,FPT
FPT Corporation and FPT Telecom: A strategic split to unlock higher valuation?,2026-03-24,FPT
FPT Long Chau Pharma Joint Stock Company wins at Healthcare Asia Pharma Awards 2026,2026-03-27,FPT
"Gates Foundation, Dragon Capital emerge as major shareholders in FPT Retail",2026-04-03,FPT
FPT chairman says company undergoing strong 'rebirth',2026-04-17,FPT
FPT Digital Retail JSC Shows Strong Financial Growth Amid Market Challenges,2026-04-20,FPT
Foreign outflows in Vietnam’s stock market to ease from mid-2026: brokerage CEO,2026-04-22,FPT
Intel and FPT Collaborate to Advance AI-Driven Autonomous Factories with Digital Manufacturing Platforms,2026-04-27,FPT
Intel And FPT Collaboration Targets AI-Driven Factory Optimization For Manufacturers,2026-04-28,FPT
Intel (INTC) and FPT Partner on AI-Driven Factory Optimization,2026-05-07,FPT
How to watch Arsenal v Burnley on TV,2026-05-13,FPT
"Southeast Asia Data Center Construction Industry Outlook Report 2026: Investments are Expected to Grow at a CAGR of 17.83% During 2025-2031, Driven by Attraction from Major Operators",2026-05-14,FPT
Major retailers post strong growth as consumer demand rebounds - Vietnam Investment Review,2026-05-15,FPT
FPT Software Offices by Huynchi,2026-05-19,FPT
"APAC Data Center Construction Market Investment to Reach USD 83.88 Billion by 2031, China Commands 53% Power Capacity, Followed by Southeast Asia 16.65%. | Arizton",2026-05-20,FPT
How to watch Crystal Palace v Arsenal live on TV,2026-05-21,FPT
"FPT Launches Flezi Foundry™, Advancing AI-Augmented Delivery for Global Enterprises",2026-05-22,FPT
Pentacyclic triterpenoids from Ziziphus jujuba Lamk. fruits as dual inhibitors of PTP1B and α-glucosidase: in vitro and in silico evaluations,2026-06-01,FPT
"UOB and FPT sign MoU to advance AI, technology transformation and financial innovation opportunities",2026-06-04,FPT
Nga sẽ giúp Việt Nam xây dựng kho dầu chiến lược,2026-06-05,FPT
FPT and NVIDIA Collaborate to Release the Nemotron Personas Vietnam Datasets,2026-06-05,FPT
FPT and ComfortDelGro to Explore Smart Mobility and Digital Innovation Across APAC | Online News 9,2026-06-05,FPT
FPT và NVIDIA hợp tác phát hành tập dữ liệu Nemotron Personas Việt Nam,2026-06-05,FPT
Nvidia and FPT release 900K synthetic personas dataset for Vietnam,2026-06-06,FPT
CW.FPT.KIS.M.CA.T.05 HOSE: CFPT2522,2026-06-07,FPT
CW.FPT.VND.M.CA.T.2025.3 HOSE: CFPT2529,2026-06-07,FPT
"Partnering with FPT, 100-year-old Japanese Enterprise Leverages AI",2026-06-08,FPT
FPT and NVIDIA Collaborate to Release the Nemotron Personas Vietnam Datasets,2026-06-08,FPT
FPT and Amata Group Sign MOU to Drive AI Transformation Across Its Industrial Parks in Southeast Asia,2026-06-09,FPT
“อนุทิน” หนุนเชื่อมธุรกิจไทย-เวียดนาม ดันยุทธศาสตร์ 5 อุตสาหกรรมศักยภาพสูง,2026-06-10,FPT
